Date,Bid,Ask
01/01/04 17:34:35,1.2964,1.2974
01/01/04 17:35:06,1.2964,1.2974
01/01/04 17:54:35,1.2964,1.2974
01/01/04 17:54:37,1.2964,1.2974
01/01/04 17:56:30,1.2964,1.2974
01/01/04 17:56:49,1.2966,1.2976
01/01/04 18:00:48,1.2966,1.2976
01/01/04 18:02:43,1.2963,1.2973
01/01/04 18:02:44,1.2963,1.2973
01/01/04 18:02:57,1.2963,1.2973
01/01/04 18:13:40,1.2963,1.2973
01/01/04 18:28:16,1.2963,1.2973
01/01/04 18:28:19,1.2963,1.2973
01/01/04 18:28:21,1.2963,1.2973
01/01/04 18:28:40,1.2963,1.2973
01/01/04 19:12:48,1.2963,1.2973
01/01/04 19:13:39,1.2963,1.2973
01/01/04 19:24:11,1.2963,1.2973
01/01/04 20:00:26,1.2963,1.2973
01/01/04 20:00:27,1.2963,1.2973
01/01/04 20:08:22,1.2963,1.2973
01/01/04 20:08:28,1.2963,1.2973
01/01/04 20:09:26,1.2963,1.2973
01/01/04 20:32:56,1.2963,1.2973
01/01/04 20:33:00,1.2963,1.2973
01/01/04 20:35:09,1.2963,1.2973
01/01/04 21:03:17,1.2963,1.2973
01/01/04 21:03:23,1.2963,1.2973
01/01/04 21:05:09,1.2963,1.2973
01/01/04 21:19:45,1.2963,1.2973
01/01/04 21:20:09,1.2963,1.2973
01/01/04 21:30:07,1.2963,1.2973
01/01/04 21:30:09,1.2963,1.2973
01/01/04 21:30:51,1.2963,1.2973
01/01/04 21:58:27,1.2961,1.2971
01/01/04 21:58:27,1.2961,1.2971
01/01/04 21:58:43,1.2961,1.2971
01/01/04 22:00:50,1.2961,1.2971
01/01/04 22:00:52,1.2961,1.2971
01/01/04 22:07:39,1.2961,1.2971
01/01/04 22:09:26,1.2961,1.2971
01/01/04 22:15:06,1.2961,1.2971
01/01/04 22:21:43,1.2951,1.2961
01/01/04 22:21:44,1.2951,1.2961
01/01/04 22:22:17,1.2951,1.2961
01/01/04 22:32:31,1.2951,1.2961
01/01/04 22:32:32,1.2951,1.2961
01/01/04 22:32:34,1.2951,1.2961
01/01/04 22:43:04,1.2953,1.2963
01/01/04 22:43:06,1.2953,1.2963
01/01/04 22:43:10,1.2953,1.2963
01/01/04 22:43:12,1.2951,1.2961
01/01/04 22:43:21,1.2953,1.2963
01/01/04 22:43:23,1.2953,1.2963
01/01/04 22:43:25,1.2951,1.2961
01/01/04 22:43:26,1.2951,1.2961
01/01/04 22:50:43,1.2951,1.2961
01/01/04 23:00:18,1.2951,1.2961
01/01/04 23:00:27,1.2951,1.2961
01/01/04 23:00:28,1.2951,1.2961
01/01/04 23:00:29,1.2951,1.2961
01/01/04 23:00:30,1.2951,1.2961
01/01/04 23:01:05,1.2949,1.2959
01/01/04 23:01:06,1.2949,1.2959
01/01/04 23:03:00,1.2949,1.2959
01/01/04 23:11:49,1.2949,1.2959
01/01/04 23:11:50,1.2949,1.2959
01/01/04 23:19:46,1.2946,1.2956
01/01/04 23:19:48,1.2946,1.2956
01/01/04 23:19:50,1.2945,1.2955
01/01/04 23:19:52,1.2945,1.2955
01/01/04 23:20:08,1.2945,1.2955
01/01/04 23:21:55,1.2946,1.2956
01/01/04 23:21:56,1.2946,1.2956
01/01/04 23:22:17,1.2946,1.2956
01/01/04 23:24:28,1.2946,1.2956
01/01/04 23:24:30,1.2946,1.2956
01/01/04 23:25:07,1.2949,1.2959
01/01/04 23:25:08,1.2949,1.2959
01/01/04 23:25:33,1.2952,1.2962
01/01/04 23:25:34,1.2952,1.2962
01/01/04 23:26:34,1.2951,1.2961
01/01/04 23:35:09,1.2951,1.2961
01/01/04 23:35:14,1.2946,1.2956
01/01/04 23:37:17,1.2946,1.2956
01/01/04 23:44:03,1.2947,1.2957
01/01/04 23:44:04,1.2947,1.2957
01/01/04 23:44:09,1.2947,1.2957
01/01/04 23:45:51,1.2947,1.2957
01/01/04 23:54:14,1.2947,1.2957
01/01/04 23:54:25,1.2947,1.2957
01/01/04 23:56:30,1.2948,1.2958
01/01/04 23:56:31,1.2948,1.2958
01/01/04 23:56:34,1.2948,1.2958
02/01/04 00:01:07,1.2947,1.2957
02/01/04 00:01:08,1.2947,1.2957
02/01/04 00:01:26,1.2945,1.2955
02/01/04 00:01:27,1.2945,1.2955
02/01/04 00:01:39,1.2945,1.2955

